HOG	OG	Gene Tree Parent Clade	A_granulata_2	B_glabrata_2	C_virginica_2	H_robusta_2	L_gigantea_2	O_bimaculoides_2	P_fucata_2	S_constricta_2
N5.HOG0000063	OG0000013	n0			C_virginica|XP_022303194.1, C_virginica|XP_022304147.1, C_virginica|XP_022304232.1, C_virginica|XP_022304272.1, C_virginica|XP_022304397.1, C_virginica|XP_022304465.1, C_virginica|XP_022304650.1, C_virginica|XP_022304826.1, C_virginica|XP_022304902.1, C_virginica|XP_022304926.1, C_virginica|XP_022305368.1, C_virginica|XP_022305369.1, C_virginica|XP_022305636.1, C_virginica|XP_022305639.1, C_virginica|XP_022305644.1, C_virginica|XP_022305646.1, C_virginica|XP_022305647.1, C_virginica|XP_022305648.1, C_virginica|XP_022305652.1, C_virginica|XP_022305656.1, C_virginica|XP_022305661.1, C_virginica|XP_022305671.1, C_virginica|XP_022305672.1, C_virginica|XP_022305675.1, C_virginica|XP_022305678.1, C_virginica|XP_022305679.1, C_virginica|XP_022306351.1, C_virginica|XP_022306357.1, C_virginica|XP_022306358.1, C_virginica|XP_022306359.1, C_virginica|XP_022306362.1, C_virginica|XP_022306364.1, C_virginica|XP_022306367.1, C_virginica|XP_022306369.1, C_virginica|XP_022306385.1, C_virginica|XP_022306463.1, C_virginica|XP_022306465.1, C_virginica|XP_022306466.1, C_virginica|XP_022306468.1, C_virginica|XP_022306472.1, C_virginica|XP_022306473.1, C_virginica|XP_022306474.1, C_virginica|XP_022306475.1, C_virginica|XP_022306479.1, C_virginica|XP_022306483.1, C_virginica|XP_022306710.1, C_virginica|XP_022307477.1, C_virginica|XP_022307478.1, C_virginica|XP_022307479.1, C_virginica|XP_022307480.1, C_virginica|XP_022307619.1, C_virginica|XP_022307622.1, C_virginica|XP_022307623.1, C_virginica|XP_022307624.1, C_virginica|XP_022307630.1, C_virginica|XP_022307631.1, C_virginica|XP_022307633.1, C_virginica|XP_022307634.1, C_virginica|XP_022309564.1, C_virginica|XP_022310056.1, C_virginica|XP_022310070.1, C_virginica|XP_022310242.1, C_virginica|XP_022310258.1, C_virginica|XP_022310797.1, C_virginica|XP_022310798.1, C_virginica|XP_022310804.1, C_virginica|XP_022311307.1, C_virginica|XP_022311308.1, C_virginica|XP_022311310.1, C_virginica|XP_022311311.1, C_virginica|XP_022311460.1, C_virginica|XP_022311480.1, C_virginica|XP_022311594.1, C_virginica|XP_022311708.1, C_virginica|XP_022311860.1, C_virginica|XP_022311861.1, C_virginica|XP_022311867.1, C_virginica|XP_022311877.1, C_virginica|XP_022311879.1, C_virginica|XP_022312370.1, C_virginica|XP_022312453.1, C_virginica|XP_022331776.1, C_virginica|XP_022334804.1				P_fucata|Pma_10011085, P_fucata|Pma_10011366, P_fucata|Pma_108.798	
N5.HOG0000064	OG0000014	n0			C_virginica|XP_022290500.1, C_virginica|XP_022304629.1, C_virginica|XP_022304635.1, C_virginica|XP_022304881.1, C_virginica|XP_022304883.1, C_virginica|XP_022304884.1, C_virginica|XP_022304885.1, C_virginica|XP_022304923.1, C_virginica|XP_022305137.1, C_virginica|XP_022305247.1, C_virginica|XP_022305249.1, C_virginica|XP_022305254.1, C_virginica|XP_022305255.1, C_virginica|XP_022305261.1, C_virginica|XP_022305262.1, C_virginica|XP_022305271.1, C_virginica|XP_022305289.1, C_virginica|XP_022305577.1, C_virginica|XP_022306410.1, C_virginica|XP_022306411.1, C_virginica|XP_022306413.1, C_virginica|XP_022306414.1, C_virginica|XP_022306636.1, C_virginica|XP_022306648.1, C_virginica|XP_022306764.1, C_virginica|XP_022306866.1, C_virginica|XP_022307315.1, C_virginica|XP_022307318.1, C_virginica|XP_022307320.1, C_virginica|XP_022307321.1, C_virginica|XP_022307322.1, C_virginica|XP_022307425.1, C_virginica|XP_022307434.1, C_virginica|XP_022307497.1, C_virginica|XP_022307498.1, C_virginica|XP_022307500.1, C_virginica|XP_022307501.1, C_virginica|XP_022307515.1, C_virginica|XP_022307592.1, C_virginica|XP_022307645.1, C_virginica|XP_022307668.1, C_virginica|XP_022307673.1, C_virginica|XP_022307674.1, C_virginica|XP_022307675.1, C_virginica|XP_022307676.1, C_virginica|XP_022307686.1, C_virginica|XP_022307753.1, C_virginica|XP_022307804.1, C_virginica|XP_022307869.1, C_virginica|XP_022308393.1, C_virginica|XP_022308398.1, C_virginica|XP_022308402.1, C_virginica|XP_022308406.1, C_virginica|XP_022308425.1, C_virginica|XP_022308498.1, C_virginica|XP_022308499.1, C_virginica|XP_022308548.1, C_virginica|XP_022308551.1, C_virginica|XP_022308759.1, C_virginica|XP_022308764.1, C_virginica|XP_022308847.1, C_virginica|XP_022308875.1, C_virginica|XP_022308881.1, C_virginica|XP_022308883.1, C_virginica|XP_022308884.1, C_virginica|XP_022308895.1, C_virginica|XP_022308897.1, C_virginica|XP_022308914.1, C_virginica|XP_022308920.1, C_virginica|XP_022308930.1, C_virginica|XP_022309624.1, C_virginica|XP_022309931.1, C_virginica|XP_022309934.1, C_virginica|XP_022310032.1, C_virginica|XP_022310034.1, C_virginica|XP_022310789.1, C_virginica|XP_022310792.1, C_virginica|XP_022310812.1, C_virginica|XP_022310813.1, C_virginica|XP_022311297.1, C_virginica|XP_022311298.1					
N5.HOG0000065	OG0000015	n7							P_fucata|Pma_10020663	S_constricta|evm.model.ctg109.15, S_constricta|evm.model.ctg6408.1
N5.HOG0000066	OG0000015	n13			C_virginica|XP_022325142.1				P_fucata|Pma_10001006	S_constricta|evm.model.ctg413.13
N5.HOG0000067	OG0000015	n19			C_virginica|XP_022313105.1					
N5.HOG0000068	OG0000015	n61			C_virginica|XP_022341159.1					S_constricta|evm.model.ctg528.30
N5.HOG0000069	OG0000016	n3								S_constricta|evm.model.ctg599.25, S_constricta|evm.model.ctg658.14, S_constricta|evm.model.ctg658.15, S_constricta|evm.model.ctg769.1, S_constricta|evm.model.ctg942.2
N5.HOG0000070	OG0000016	n9			C_virginica|XP_022293525.1, C_virginica|XP_022294752.1, C_virginica|XP_022308580.1, C_virginica|XP_022332689.1, C_virginica|XP_022334600.1				P_fucata|Pma_10002971, P_fucata|Pma_10002972, P_fucata|Pma_10005410, P_fucata|Pma_10010486, P_fucata|Pma_10013072, P_fucata|Pma_10013074, P_fucata|Pma_10013077, P_fucata|Pma_10013078, P_fucata|Pma_10017082, P_fucata|Pma_10017238, P_fucata|Pma_10019994, P_fucata|Pma_10020228, P_fucata|Pma_10021023, P_fucata|Pma_10026304, P_fucata|Pma_10026305, P_fucata|Pma_10026308, P_fucata|Pma_10026309, P_fucata|Pma_10026311, P_fucata|Pma_10027671, P_fucata|Pma_2.319	S_constricta|evm.model.ctg174.7, S_constricta|evm.model.ctg496.5, S_constricta|evm.model.ctg6.81
N5.HOG0000071	OG0000017	n1			C_virginica|XP_022343020.1, C_virginica|XP_022344548.1, C_virginica|XP_022344551.1				P_fucata|Pma_10024934, P_fucata|Pma_10029257, P_fucata|Pma_10029259	
N5.HOG0000072	OG0000017	n39			C_virginica|XP_022344537.1, C_virginica|XP_022344538.1				P_fucata|Pma_10029261	S_constricta|evm.model.ctg747.5
N5.HOG0000073	OG0000017	n42			C_virginica|XP_022288802.1, C_virginica|XP_022338110.1, C_virginica|XP_022344539.1				P_fucata|Pma_10003264, P_fucata|Pma_10021622, P_fucata|Pma_10029262	S_constricta|evm.model.ctg225.33, S_constricta|evm.model.ctg747.4
N5.HOG0000074	OG0000017	n50			C_virginica|XP_022292738.1				P_fucata|Pma_10031907	S_constricta|evm.model.ctg337.18
N5.HOG0000075	OG0000017	n53							P_fucata|Pma_10005159, P_fucata|Pma_10016044	S_constricta|evm.model.ctg3125.1, S_constricta|evm.model.ctg325.3, S_constricta|evm.model.ctg489.2
N5.HOG0000076	OG0000017	n57			C_virginica|XP_022339402.1, C_virginica|XP_022339405.1				P_fucata|Pma_10016367, P_fucata|Pma_10023166	S_constricta|evm.model.ctg416.42
N5.HOG0000077	OG0000018	n0			C_virginica|XP_022300455.1, C_virginica|XP_022333877.1				P_fucata|Pma_10000702, P_fucata|Pma_10001184, P_fucata|Pma_10002367, P_fucata|Pma_10002677, P_fucata|Pma_10004474, P_fucata|Pma_10004726, P_fucata|Pma_10005768, P_fucata|Pma_10006138, P_fucata|Pma_10006295, P_fucata|Pma_10006442, P_fucata|Pma_10007024, P_fucata|Pma_10007429, P_fucata|Pma_10008755, P_fucata|Pma_10009009, P_fucata|Pma_10010284, P_fucata|Pma_10010736, P_fucata|Pma_10011065, P_fucata|Pma_10011110, P_fucata|Pma_10011394, P_fucata|Pma_10012443, P_fucata|Pma_10013403, P_fucata|Pma_10013450, P_fucata|Pma_10013452, P_fucata|Pma_10013560, P_fucata|Pma_10013561, P_fucata|Pma_10013599, P_fucata|Pma_10014320, P_fucata|Pma_10016081, P_fucata|Pma_10016439, P_fucata|Pma_10016667, P_fucata|Pma_10018175, P_fucata|Pma_10018321, P_fucata|Pma_10019583, P_fucata|Pma_10020252, P_fucata|Pma_10020542, P_fucata|Pma_10020684, P_fucata|Pma_10021692, P_fucata|Pma_10021806, P_fucata|Pma_10021855, P_fucata|Pma_10022327, P_fucata|Pma_10022476, P_fucata|Pma_10022590, P_fucata|Pma_10023184, P_fucata|Pma_10023239, P_fucata|Pma_10023292, P_fucata|Pma_10023372, P_fucata|Pma_10023966, P_fucata|Pma_10024686, P_fucata|Pma_10025744, P_fucata|Pma_10026409, P_fucata|Pma_10026948, P_fucata|Pma_10027321, P_fucata|Pma_10028434, P_fucata|Pma_10029440, P_fucata|Pma_10030542, P_fucata|Pma_10030764, P_fucata|Pma_10030882, P_fucata|Pma_10031645	
N5.HOG0000078	OG0000019	n3			C_virginica|XP_022338983.1					S_constricta|evm.model.ctg23.32
N5.HOG0000079	OG0000019	n8			C_virginica|XP_022291061.1				P_fucata|Pma_10019755	S_constricta|evm.model.ctg159.29
N5.HOG0000080	OG0000019	n11			C_virginica|XP_022314994.1				P_fucata|Pma_10027659	S_constricta|evm.model.ctg128.7, S_constricta|evm.model.ctg9.1
N5.HOG0000081	OG0000019	n19			C_virginica|XP_022337519.1				P_fucata|Pma_10025141	S_constricta|evm.model.ctg859.12
N5.HOG0000082	OG0000019	n28								S_constricta|evm.model.ctg139.17
N5.HOG0000083	OG0000019	n30			C_virginica|XP_022313091.1, C_virginica|XP_022313389.1				P_fucata|Pma_10004783, P_fucata|Pma_10004784	S_constricta|evm.model.ctg117.11
N5.HOG0000084	OG0000019	n37			C_virginica|XP_022312847.1, C_virginica|XP_022312947.1				P_fucata|Pma_10004192	S_constricta|evm.model.ctg510.19
N5.HOG0000085	OG0000019	n42							P_fucata|Pma_10020247	S_constricta|evm.model.ctg274.25
N5.HOG0000086	OG0000019	n48			C_virginica|XP_022302633.1				P_fucata|Pma_10013841, P_fucata|Pma_10023026	S_constricta|evm.model.ctg84.12
N5.HOG0000087	OG0000019	n53			C_virginica|XP_022313153.1				P_fucata|Pma_10003080	S_constricta|evm.model.ctg131.22, S_constricta|evm.model.ctg131.23
N5.HOG0000088	OG0000020	n9			C_virginica|XP_022331975.1, C_virginica|XP_022331976.1					
N5.HOG0000089	OG0000020	n19							P_fucata|Pma_10019387, P_fucata|Pma_10020902	S_constricta|evm.model.ctg1086.11, S_constricta|evm.model.ctg1086.12, S_constricta|evm.model.ctg1086.13, S_constricta|evm.model.ctg1086.9, S_constricta|evm.model.ctg1723.2, S_constricta|evm.model.ctg189.107, S_constricta|evm.model.ctg2779.2, S_constricta|evm.model.ctg28.4, S_constricta|evm.model.ctg3.92, S_constricta|evm.model.ctg5497.1, S_constricta|evm.model.ctg6487.1, S_constricta|evm.model.ctg727.2, S_constricta|evm.model.ctg727.3, S_constricta|evm.model.ctg727.4
N5.HOG0000090	OG0000020	n37							P_fucata|Pma_10001746, P_fucata|Pma_10026027	
N5.HOG0000091	OG0000020	n45								S_constricta|evm.model.ctg636.4_evm.model.ctg636.5
N5.HOG0000092	OG0000021	n4			C_virginica|XP_022291094.1, C_virginica|XP_022291640.1, C_virginica|XP_022293003.1, C_virginica|XP_022304791.1, C_virginica|XP_022308078.1, C_virginica|XP_022317583.1, C_virginica|XP_022319163.1, C_virginica|XP_022320337.1, C_virginica|XP_022330434.1, C_virginica|XP_022342549.1				P_fucata|Pma_10001900, P_fucata|Pma_10004526, P_fucata|Pma_10004553, P_fucata|Pma_10007653, P_fucata|Pma_10011278, P_fucata|Pma_10018494, P_fucata|Pma_10018803, P_fucata|Pma_10021273, P_fucata|Pma_10025973, P_fucata|Pma_10031676, P_fucata|Pma_154.293, P_fucata|Pma_220.644, P_fucata|Pma_285.110, P_fucata|Pma_312.314, P_fucata|Pma_324.215, P_fucata|Pma_330.410, P_fucata|Pma_388.228, P_fucata|Pma_520.689, P_fucata|Pma_541.364, P_fucata|Pma_563.627	
N5.HOG0000093	OG0000021	n34							P_fucata|Pma_10000128, P_fucata|Pma_211.729, P_fucata|Pma_291.611	S_constricta|evm.model.ctg1671.1, S_constricta|evm.model.ctg3068.1
N5.HOG0000094	OG0000023	n0			C_virginica|XP_022322019.1				P_fucata|Pma_10014854	S_constricta|evm.model.ctg238.53
N5.HOG0000095	OG0000024	n0			C_virginica|XP_022319000.1				P_fucata|Pma_10012487	S_constricta|evm.model.ctg14.39
N5.HOG0000096	OG0000025	n0			C_virginica|XP_022316668.1				P_fucata|Pma_10016699	S_constricta|evm.model.ctg97.43
N5.HOG0000097	OG0000026	n0			C_virginica|XP_022344839.1				P_fucata|Pma_10004014	S_constricta|evm.model.ctg1004.16
N5.HOG0000098	OG0000027	n0			C_virginica|XP_022341852.1				P_fucata|Pma_10008115	S_constricta|evm.model.ctg660.7
N5.HOG0000099	OG0000028	n0			C_virginica|XP_022321873.1				P_fucata|Pma_10025415	S_constricta|evm.model.ctg930.2
N5.HOG0000100	OG0000029	n0			C_virginica|XP_022344457.1				P_fucata|Pma_10031590	S_constricta|evm.model.ctg492.4
N5.HOG0000101	OG0000030	n0			C_virginica|XP_022308357.1				P_fucata|Pma_10019276	S_constricta|evm.model.ctg40.49
N5.HOG0000102	OG0000031	n0			C_virginica|XP_022328400.1				P_fucata|Pma_10004601	S_constricta|evm.model.ctg142.10
N5.HOG0000103	OG0000032	n0			C_virginica|XP_022338696.1				P_fucata|Pma_10001679	S_constricta|evm.model.ctg145.40
N5.HOG0000104	OG0000033	n0			C_virginica|XP_022343803.1				P_fucata|Pma_10026789	S_constricta|evm.model.ctg647.9
N5.HOG0000105	OG0000034	n0			C_virginica|XP_022343845.1				P_fucata|Pma_10032131	S_constricta|evm.model.ctg613.8
N5.HOG0000106	OG0000035	n0			C_virginica|XP_022313863.1				P_fucata|Pma_10016128	S_constricta|evm.model.ctg392.9
N5.HOG0000107	OG0000036	n0			C_virginica|XP_022314684.1				P_fucata|Pma_10028537	S_constricta|evm.model.ctg96.20
N5.HOG0000108	OG0000037	n0			C_virginica|XP_022316489.1				P_fucata|Pma_10007898	S_constricta|evm.model.ctg533.29
N5.HOG0000109	OG0000038	n0			C_virginica|XP_022314870.1				P_fucata|Pma_225.222	S_constricta|evm.model.ctg1402.5
N5.HOG0000110	OG0000039	n0			C_virginica|XP_022309414.1				P_fucata|Pma_10017118	S_constricta|evm.model.ctg271.100
N5.HOG0000111	OG0000040	n0			C_virginica|XP_022332522.1				P_fucata|Pma_10009782	S_constricta|evm.model.ctg76.36
N5.HOG0000112	OG0000041	n0			C_virginica|XP_022301526.1				P_fucata|Pma_10020132	S_constricta|evm.model.ctg64.47
N5.HOG0000113	OG0000042	n0			C_virginica|XP_022300046.1				P_fucata|Pma_10002130	S_constricta|evm.model.ctg154.29
N5.HOG0000114	OG0000043	n0			C_virginica|XP_022322855.1				P_fucata|Pma_10008006	S_constricta|evm.model.ctg491.9
N5.HOG0000115	OG0000044	n0			C_virginica|XP_022334366.1				P_fucata|Pma_10030088	S_constricta|evm.model.ctg340.12
N5.HOG0000116	OG0000045	n0			C_virginica|XP_022317065.1				P_fucata|Pma_10002234	S_constricta|evm.model.ctg968.2
N5.HOG0000117	OG0000046	n0			C_virginica|XP_022325540.1				P_fucata|Pma_10027324	S_constricta|evm.model.ctg667.12
N5.HOG0000118	OG0000047	n0			C_virginica|XP_022333984.1				P_fucata|Pma_10023216	S_constricta|evm.model.ctg1.21
N5.HOG0000119	OG0000048	n0			C_virginica|XP_022330767.1				P_fucata|Pma_10003678	S_constricta|evm.model.ctg1.125_evm.model.ctg1.126
N5.HOG0000120	OG0000049	n0			C_virginica|XP_022333004.1				P_fucata|Pma_10020653	S_constricta|evm.model.ctg388.17
N5.HOG0000121	OG0000050	n0			C_virginica|XP_022340056.1				P_fucata|Pma_10006139	S_constricta|evm.model.ctg51.64
N5.HOG0000122	OG0000051	n0			C_virginica|XP_022343998.1				P_fucata|Pma_10021729	S_constricta|evm.model.ctg185.15
N5.HOG0000123	OG0000052	n0			C_virginica|XP_022345957.1				P_fucata|Pma_10014024	S_constricta|evm.model.ctg101.83
N5.HOG0000124	OG0000053	n0			C_virginica|XP_022286161.1				P_fucata|Pma_10029871	S_constricta|evm.model.ctg1651.2
N5.HOG0000125	OG0000054	n0			C_virginica|XP_022343743.1				P_fucata|Pma_10029064	S_constricta|evm.model.ctg775.15
N5.HOG0000126	OG0000055	n0			C_virginica|XP_022345421.1				P_fucata|Pma_10017450	S_constricta|evm.model.ctg1149.7
N5.HOG0000127	OG0000056	n0			C_virginica|XP_022329200.1				P_fucata|Pma_10015971	S_constricta|evm.model.ctg1239.1
N5.HOG0000128	OG0000057	n0			C_virginica|XP_022288607.1				P_fucata|Pma_10013840	S_constricta|evm.model.ctg138.11
N5.HOG0000129	OG0000058	n0			C_virginica|XP_022317557.1				P_fucata|Pma_10014039	S_constricta|evm.model.ctg96.49
N5.HOG0000130	OG0000059	n0			C_virginica|XP_022295132.1				P_fucata|Pma_10022791	S_constricta|evm.model.ctg639.2
N5.HOG0000131	OG0000060	n0			C_virginica|XP_022316787.1				P_fucata|Pma_10022841	S_constricta|evm.model.ctg74.29
N5.HOG0000132	OG0000061	n0			C_virginica|XP_022296668.1				P_fucata|Pma_10032223	S_constricta|evm.model.ctg210.6
N5.HOG0000133	OG0000062	n0			C_virginica|XP_022298945.1				P_fucata|Pma_10006927	S_constricta|evm.model.ctg230.1
N5.HOG0000134	OG0000063	n0			C_virginica|XP_022313813.1				P_fucata|Pma_10026025	S_constricta|evm.model.ctg131.13
N5.HOG0000135	OG0000064	n0			C_virginica|XP_022320821.1				P_fucata|Pma_10001281	S_constricta|evm.model.ctg1020.4
N5.HOG0000136	OG0000065	n0			C_virginica|XP_022340992.1				P_fucata|Pma_10008428	S_constricta|evm.model.ctg502.6
N5.HOG0000137	OG0000066	n0			C_virginica|XP_022332899.1				P_fucata|Pma_10031684	S_constricta|evm.model.ctg442.45
N5.HOG0000138	OG0000067	n0			C_virginica|XP_022321982.1				P_fucata|Pma_10022889	S_constricta|evm.model.ctg249.21
N5.HOG0000139	OG0000068	n0			C_virginica|XP_022341053.1				P_fucata|Pma_10017451	S_constricta|evm.model.ctg1547.1
N5.HOG0000140	OG0000069	n0			C_virginica|XP_022322535.1				P_fucata|Pma_10015959	S_constricta|evm.model.ctg381.13
N5.HOG0000141	OG0000070	n0			C_virginica|XP_022333852.1				P_fucata|Pma_10013995	S_constricta|evm.model.ctg367.23
N5.HOG0000142	OG0000071	-			C_virginica|XP_022343574.1, C_virginica|XP_022334317.1				P_fucata|Pma_10031795	
N5.HOG0000143	OG0000078	-							P_fucata|Pma_10004484	S_constricta|evm.model.ctg149.2
